jahr,kw,"substr(blv_name,1,3)",player_count
2019,52,NRW,446
2019,52,BAY,159
2019,52,BAW,142
2019,52,NIS,115
2019,52,HES,99
2019,52,SAC,67
2019,52,RHP,53
2019,52,BBB,50
2019,52,SLH,48
2019,52,HAM,47
2019,52,SAA,31
2019,52,RHL,28
2019,52,THÜ,27
2019,52,SAH,18
2019,52,BRE,18
2019,52,MVP,10
2020,1,NRW,394
2020,1,BAY,146
2020,1,BAW,131
2020,1,NIS,109
2020,1,HES,93
2020,1,SAC,63
2020,1,BBB,49
2020,1,SLH,47
2020,1,RHP,47
2020,1,HAM,46
2020,1,SAA,30
2020,1,THÜ,24
2020,1,RHL,23
2020,1,SAH,17
2020,1,BRE,17
2020,1,MVP,9
2020,2,NRW,394
2020,2,BAY,146
2020,2,BAW,131
2020,2,NIS,109
2020,2,SAC,106
2020,2,HES,93
2020,2,BBB,49
2020,2,SLH,47
2020,2,RHP,47
2020,2,HAM,46
2020,2,SAA,30
2020,2,THÜ,24
2020,2,RHL,23
2020,2,SAH,17
2020,2,BRE,17
2020,2,MVP,9
2020,3,NRW,397
2020,3,BAY,313
2020,3,NIS,226
2020,3,HES,225
2020,3,BAW,217
2020,3,RHP,154
2020,3,SAC,136
2020,3,SAA,95
2020,3,BBB,50
2020,3,SLH,47
2020,3,HAM,46
2020,3,THÜ,24
2020,3,RHL,23
2020,3,SAH,17
2020,3,BRE,17
2020,3,MVP,9
2020,4,NRW,399
2020,4,BAW,388
2020,4,NIS,360
2020,4,BAY,315
2020,4,HES,225
2020,4,SAC,162
2020,4,RHP,154
2020,4,SAA,96
2020,4,SAH,59
2020,4,BBB,57
2020,4,HAM,42
2020,4,SLH,41
2020,4,MVP,40
2020,4,THÜ,30
2020,4,RHL,24
2020,4,BRE,17
2020,5,BAW,405
2020,5,NRW,399
2020,5,NIS,378
2020,5,BAY,318
2020,5,HES,300
2020,5,SAC,169
2020,5,RHP,153
2020,5,SAA,96
2020,5,SAH,73
2020,5,BBB,57
2020,5,THÜ,48
2020,5,SLH,44
2020,5,HAM,42
2020,5,MVP,40
2020,5,RHL,24
2020,5,BRE,17
2020,6,NRW,754
2020,6,NIS,553
